#Initial conditions:
#x =  80 (kpc), y =  0 (kpc), z =  0 (kpc), vx =  0 (km/s), vy =  0 (km/s), vz =  80 (km/s),
#positions, velocities and accelerations are relative to a (0,0,0) point
# t(Gyrs), x_sat(kpc), y_sat(Kpc), z_sat(Kpc), x_mw(Kpc), y_mw(Kpc), z_mw(Kpc), vx_sat(Kpc/Gyr), vy_sat(Kpc/Gyr), vz_sat(Kpc/Gyr), vx_mw(Kpc/Gyr), vy_mw(Kpc/Gyr), vz_mw(Kpc/Gyr), ax_sat(Kpc/Gyr2), ay_sat(kpc/Gyrs2), az_sat(Kpc/Gyr2), axmw(Kpc/Gyr2), aymw(Kpc/Gyr2), azmw(Kpc/Gyr2)
-0.619 -35.4183705866 0.0 -4.87860443635 10.5852619284 0.0 -8.21530442291 228.615220652 0.0 -208.968376107 -11.2269335529 0.0 46.2565372271 837.091090342 -0.0 42.6680801355 -128.385107892 -0.0 9.31192960988
-0.62 -35.6464851655 0.0 -4.67006858897 10.5964348839 0.0 -8.26146467288 227.781336555 0.0 -209.008444076 -11.0989734537 0.0 46.2473958464 831.947204729 -0.0 37.6959058029 -127.22449715 -0.0 9.88072466774
-0.621 -35.8739332598 0.0 -4.4605875482 10.6074598753 0.0 -8.3077992146 226.951326243 0.0 -209.043767919 -10.9724845586 0.0 46.2367757778 826.837927941 -0.0 32.8561407098 -126.074138277 -0.0 10.4350120101
-0.622 -36.100387818 0.0 -4.25198105313 10.6183798531 0.0 -8.35393822443 226.127660699 0.0 -209.074156358 -10.8468251772 0.0 46.2265258223 821.751257065 -0.0 28.1030842449 -124.936472081 -0.0 10.9695542746
-0.623 -36.3261885812 0.0 -4.04243923548 10.6291535256 0.0 -8.40025226624 225.307823729 0.0 -209.099974087 -10.7226116144 0.0 46.2148366692 816.700718595 -0.0 23.4767217396 -123.808992182 -0.0 11.4904165372
-0.624 -36.5510034655 0.0 -3.83378110496 10.6398250763 0.0 -8.44636789777 224.494259262 0.0 -209.121109801 -10.5992071928 0.0 46.2035449893 811.673572716 -0.0 18.9326773808 -122.694221605 -0.0 11.9925367622
-0.625 -36.7751770997 0.0 -3.62419701588 10.65035194 0.0 -8.49265935622 223.684476583 0.0 -209.137839442 -10.4772231712 0.0 46.1908515957 806.683865312 -0.0 14.5099892291 -121.589547892 -0.0 12.4817613399
-0.626 -36.9983724187 0.0 -3.41550542607 10.6607795226 0.0 -8.53874960096 222.880891532 0.0 -209.15012978 -10.356028097 0.0 46.1785814666 801.718182183 -0.0 10.1655241061 -120.497568205 -0.0 12.9531986879
-0.627 -37.2209388827 0.0 -3.20589675632 10.6710639962 0.0 -8.58501651916 222.081040219 0.0 -209.15817049 -10.2362280348 0.0 46.1649451983 796.791049557 -0.0 5.93736279199 -119.415575287 -0.0 13.4124831372
-0.628 -37.4425344991 0.0 -2.99718908509 10.6812519787 0.0 -8.63107949136 221.287309433 0.0 -209.162004505 -10.1171969465 0.0 46.1517565003 791.888435938 -0.0 1.78356336127 -118.346232895 -0.0 13.8548887136
-0.629 -37.6635135016 0.0 -2.78757274731 10.6912983901 0.0 -8.67732003216 220.497263347 0.0 -209.161737617 -9.99953556899 0.0 46.1372354209 787.025310439 -0.0 -2.25874303968 -117.286749401 -0.0 14.2858442998
-0.63 -37.8835290258 0.0 -2.57886560986 10.7012510498 0.0 -8.7233539622 219.713258812 0.0 -209.157487019 -9.88262344766 0.0 46.1231848117 782.187076962 -0.0 -6.23034620108 -116.239848117 -0.0 14.7007847256
-0.631 -38.1029400192 0.0 -2.36925777327 10.711063637 0.0 -8.76956640178 218.932889193 0.0 -209.149276925 -9.76705587275 0.0 46.1078338515 777.389111963 -0.0 -10.0950496366 -115.202662678 -0.0 15.1049399914
-0.632 -38.3213948042 0.0 -2.16056705601 10.7207851616 0.0 -8.81556962991 218.158480588 0.0 -209.13729692 -9.6522181223 0.0 46.0929749317 772.616303609 -0.0 -13.8925247378 -114.177969394 -0.0 15.4939009794
-0.633 -38.5392569804 0.0 -1.95098317943 10.7303680732 0.0 -8.86175235164 217.387656586 0.0 -209.121491875 -9.53869993397 0.0 46.0768460495 767.884402138 -0.0 -17.5874914317 -113.162836057 -0.0 15.8727053029
-0.634 -38.7561701173 0.0 -1.74232407226 10.7398625615 0.0 -8.907723322 216.622711783 0.0 -209.102121937 -9.42589245019 0.0 46.0612295211 763.177825395 -0.0 -21.2185338502 -112.160085858 -0.0 16.2370952087
-0.635 -38.972502404 0.0 -1.53277893555 10.7492198581 0.0 -8.95387481069 215.861300935 0.0 -209.079054808 -9.31437976225 0.0 46.0443718591 758.512665792 -0.0 -24.7512685657 -111.16672895 -0.0 16.5919223255
-0.636 -39.1878927192 0.0 -1.32416596264 10.758491321 0.0 -8.99981206572 215.105686452 0.0 -209.0526194 -9.20355899229 0.0 46.0280456765 753.872913099 -0.0 -28.2232221869 -110.185629719 -0.0 16.9330756494
-0.637 -39.4027137769 0.0 -1.11467369675 10.7676269761 0.0 -9.04593090204 214.353555109 0.0 -209.022608363 -9.09400850281 0.0 46.0105057078 749.274972179 -0.0 -31.6008874669 -109.213748239 -0.0 17.2652271169
-0.638 -39.6165998294 0.0 -0.906120745917 10.776679338 0.0 -9.09183307714 213.607136508 0.0 -208.989417625 -8.98513149581 0.0 45.9935152222 744.702444039 -0.0 -34.9207623516 -108.253984794 -0.0 17.5844079384
-0.639 -39.8299280499 0.0 -0.696694861503 10.7855972391 0.0 -9.13791793248 212.864150221 0.0 -208.952766838 -8.87750053323 0.0 45.9753368919 740.172018067 -0.0 -38.1501950368 -107.303256348 -0.0 17.8951165261
-0.64 -40.0423281299 0.0 -0.48821521224 10.7944343391 0.0 -9.18378375092 212.126792471 0.0 -208.913117235 -8.77052498311 0.0 45.9577249892 735.666943099 -0.0 -41.3246830237 -106.364494161 -0.0 18.1935218558
-0.641 -40.2541816348 0.0 -0.278868627033 10.8031382891 0.0 -9.22983338246 211.392816335 0.0 -208.870117472 -8.6647715449 0.0 45.9389498482 731.20416683 -0.0 -44.4124091716 -105.434578496 -0.0 18.4839548477
-0.642 -40.4651137625 0.0 -0.0704749772948 10.8117638821 0.0 -9.27566165062 210.664384138 0.0 -208.824292417 -8.55965582612 0.0 45.9207570795 726.766619977 -0.0 -47.4478982077 -104.516467015 -0.0 18.7627178857
-0.643 -40.6755104031 0.0 0.1387799578 10.8202576007 0.0 -9.32167489662 209.939283095 0.0 -208.775221676 -8.45573861087 0.0 45.9014244124 722.371483947 -0.0 -50.4001469753 -103.607009179 -0.0 19.0339802849
-0.644 -40.8849923287 0.0 0.347075466057 10.8286753594 0.0 -9.36746449944 209.21964117 0.0 -208.723492123 -8.35244180776 0.0 45.8826891189 718.00140302 -0.0 -53.3027345831 -102.709184807 -0.0 19.2941735761
-0.645 -41.0939496854 0.0 0.556226942046 10.8369624843 0.0 -9.41344027486 208.503280289 0.0 -208.668616207 -8.25032024126 0.0 45.8628360653 713.67376925 -0.0 -56.1254513672 -101.819817979 -0.0 19.5473112049
-0.646 -41.3019988893 0.0 0.764412698471 10.8451759998 0.0 -9.45919017157 207.792293631 0.0 -208.61124122 -8.14880217181 0.0 45.8435944965 709.370969959 -0.0 -58.9009574599 -100.941906728 -0.0 19.7899496861
-0.647 -41.5095342727 0.0 0.973449424486 10.8532600887 0.0 -9.50512746385 207.084538349 0.0 -208.550814292 -8.0484364278 0.0 45.8232561659 705.110586225 -0.0 -61.5998164485 -100.072254732 -0.0 20.0259521744
-0.648 -41.716167966 0.0 1.18151432705 10.8612728727 0.0 -9.55083668391 206.382072459 0.0 -208.488041587 -7.94865766234 0.0 45.8035425922 700.874775831 -0.0 -64.2537956065 -99.2138745878 -0.0 20.251996108
-0.649 -41.9222984176 0.0 1.39042550766 10.869157404 0.0 -9.59673454904 205.682788797 0.0 -208.422306701 -7.85000867863 0.0 45.7827521737 696.681288618 -0.0 -66.834211823 -98.3635541392 -0.0 20.4717997686
