     pmw          pmn          x          y          z          vx          vy          vz
     -1.8941      0.2263     -0.7456    -42.8803    -29.0738    -60.0887   -240.2755    229.9940
     -1.8911      0.2537     -1.3048    -39.7018    -26.9186    -59.0078   -214.6314    204.4431
     -1.9245      0.2362     -0.8984    -42.0122    -28.4851    -61.7696   -235.2979    230.6496
     -1.8999      0.1961     -1.0195    -41.3237    -28.0183    -50.0227   -225.9751    222.2175
     -1.9071      0.2727     -0.9052    -41.9731    -28.4586    -70.4720   -229.6958    227.6071
     -1.9003      0.2118     -0.5325    -44.0916    -29.8950    -60.2237   -245.9504    244.3001
     -1.8790      0.2552     -0.3436    -45.1653    -30.6230    -74.0277   -246.5741    249.5388
     -1.8685      0.2248     -1.1366    -40.6580    -27.5670    -54.0086   -219.0056    208.4348
     -1.9142      0.2251     -0.9325    -41.8179    -28.3534    -58.6145   -230.7711    228.5423
     -1.9019      0.1962     -0.9347    -41.8057    -28.3451    -51.3732   -228.6531    227.2642
     -1.9021      0.2388     -1.0550    -41.1218    -27.8814    -60.0021   -223.1558    220.6652
     -1.9092      0.2474     -0.8948    -42.0322    -28.4987    -64.2188   -232.5691    227.9223
     -1.8997      0.2609     -0.9124    -41.9325    -28.4311    -66.8133   -231.2926    224.2508
     -1.9008      0.2046     -0.6796    -43.2553    -29.3280    -56.5159   -239.9132    237.8838
     -1.8873      0.1764     -1.2462    -40.0351    -27.1446    -42.4245   -214.0216    210.6596
     -1.9209      0.2890     -0.8893    -42.0637    -28.5201    -75.2254   -231.2299    231.2016
     -1.8994      0.2590     -0.6268    -43.5554    -29.5315    -70.3822   -243.9986    236.6680
     -1.8843      0.2433     -0.9956    -41.4593    -28.1103    -60.8017   -226.6264    217.4240
     -1.9057      0.2364     -1.1772    -40.4271    -27.4104    -57.2139   -221.9703    213.5253
     -1.9166      0.2421     -0.9891    -41.4964    -28.1354    -61.7511   -229.9497    225.0176
     -1.9053      0.2753     -0.6905    -43.1938    -29.2863    -74.0578   -239.9860    235.8844
     -1.8879      0.1804     -1.0243    -41.2965    -27.9999    -45.5151   -226.2698    218.7442
     -1.9074      0.2603     -1.2891    -39.7912    -26.9793    -61.6685   -214.7142    209.8416
     -1.9235      0.2077     -1.6480    -37.7513    -25.5962    -44.3146   -207.8219    193.7933
     -1.9464      0.2008     -1.0212    -41.3138    -28.0116    -52.6865   -230.6341    232.0949
     -1.9072      0.2248     -0.6618    -43.3567    -29.3968    -62.5540   -238.1975    241.5932
     -1.8863      0.2261     -1.2579    -39.9688    -27.0997    -53.3472   -215.2655    207.0392
     -1.9216      0.0989     -1.6498    -37.7414    -25.5895    -21.2234   -204.2478    198.9585
     -1.9465      0.2391     -0.8521    -42.2751    -28.6634    -65.3989   -230.9565    243.4103
     -1.8972      0.2021     -0.9592    -41.6662    -28.2506    -52.1651   -228.0224    224.3030
     -1.9035      0.1927     -0.6809    -43.2481    -29.3231    -54.2442   -236.6350    241.2699
     -1.8873      0.2608     -0.5596    -43.9374    -29.7905    -72.5193   -239.0117    241.2625
     -1.8805      0.1669     -0.8695    -42.1765    -28.5965    -44.2485   -229.7449    226.0892
     -1.8982      0.3082     -1.2184    -40.1934    -27.2519    -73.6227   -215.8548    210.1695
     -1.9192      0.2985     -0.8295    -42.4036    -28.7505    -77.0972   -241.0895    228.1325
     -1.8959      0.1833     -1.0179    -41.3327    -28.0244    -46.2685   -228.9978    219.5664
     -1.9070      0.2545     -1.2979    -39.7414    -26.9455    -60.1691   -214.4485    209.4589
     -1.9241      0.1290     -1.0741    -41.0134    -27.8080    -34.1014   -227.5238    226.2606
     -1.9104      0.2619     -1.2823    -39.8300    -27.0055    -62.7328   -212.3404    212.7325
     -1.9231      0.2441     -0.8641    -42.2067    -28.6170    -64.0439   -236.9365    231.4175
     -1.8979      0.2720     -1.2673    -39.9151    -27.0633    -63.7533   -218.1611    206.1100
     -1.9222      0.2661     -1.0785    -40.9882    -27.7908    -65.7667   -229.8477    219.1914
     -1.9107      0.2341     -0.8361    -42.3659    -28.7249    -61.6747   -236.3368    230.6023
     -1.8963      0.1671     -1.0223    -41.3076    -28.0074    -43.0868   -224.8885    222.6869
     -1.9073      0.2466     -0.9412    -41.7684    -28.3198    -63.9994   -226.3667    228.1448
     -1.9025      0.2504     -1.1364    -40.6589    -27.5676    -60.9557   -223.3807    214.2106
     -1.9142      0.1859     -1.0843    -40.9555    -27.7687    -47.0116   -226.2790    221.6009
     -1.9110      0.3122     -0.9627    -41.6463    -28.2371    -79.1255   -228.0412    224.2444
     -1.9037      0.1334     -1.1497    -40.5836    -27.5165    -33.0867   -225.5060    216.0550
     -1.9150      0.2617     -1.0362    -41.2287    -27.9539    -66.6610   -222.1681    225.6379
     -1.9081      0.2181     -1.4837    -38.6852    -26.2294    -48.4980   -212.0515    198.7691
     -1.9358      0.2043     -1.0579    -41.1053    -27.8702    -52.6057   -228.4950    227.6119
     -1.9094      0.1997     -1.0617    -41.0839    -27.8557    -50.8859   -223.9044    223.0781
     -1.9096      0.2479     -0.7493    -42.8595    -29.0597    -66.9833   -235.6087    236.7640
     -1.8913      0.1935     -1.2904    -39.7838    -26.9742    -45.3918   -215.7261    206.7877
     -1.9236      0.2525     -1.0874    -40.9375    -27.7565    -63.3223   -224.9078    222.7385
     -1.9112      0.2268     -1.4035    -39.1409    -26.5384    -51.7636   -214.9151    203.3406
     -1.9307      0.1909     -1.2216    -40.1752    -27.2396    -47.0073   -222.1581    218.5883
     -1.9194      0.2800     -0.7365    -42.9321    -29.1089    -75.3961   -237.3480    238.2939
     -1.8905      0.2038     -1.5517    -38.2986    -25.9672    -43.7527   -208.2749    192.0519
     -1.9401      0.1612     -1.0435    -41.1870    -27.9256    -42.9638   -228.2301    231.5860
     -1.9085      0.2362     -0.5513    -43.9848    -29.8226    -67.4680   -240.2080    248.4271
     -1.8800      0.2482     -1.2710    -39.8941    -27.0490    -57.8752   -214.9109    203.8605
     -1.9224      0.2417     -1.1955    -40.3236    -27.3402    -58.5713   -223.8918    215.3752
     -1.9178      0.3327     -0.3496    -45.1312    -30.5999    -94.6931   -254.9765    252.6868
     -1.8688      0.2755     -0.8465    -42.3070    -28.6850    -69.5875   -234.5789    217.2997
     -1.8969      0.2689     -0.8303    -42.3993    -28.7476    -69.6565   -235.6261    226.2588
     -1.8960      0.3201     -1.0539    -41.1281    -27.8857    -78.1155   -227.6714    213.1867
     -1.9092      0.2776     -0.8880    -42.0711    -28.5251    -70.7131   -237.9972    223.6841
     -1.8993      0.2285     -0.5512    -43.9854    -29.8230    -64.0525   -245.6458    242.2096
     -1.8800      0.2430     -0.7358    -42.9360    -29.1115    -64.8438   -233.5260    230.5106
     -1.8905      0.3906     -0.6601    -43.3664    -29.4033   -102.5462   -240.5370    229.1823
     -1.8862      0.1718     -1.1614    -40.5169    -27.4713    -40.5168   -227.8339    207.3762
     -1.9157      0.2103     -1.3778    -39.2870    -26.6374    -49.4035   -211.4703    209.3452
     -1.9291      0.2385     -1.1259    -40.7186    -27.6081    -59.4662   -225.0536    221.7722
     -1.9135      0.2265     -1.3139    -39.6506    -26.8839    -53.2166   -217.6482    208.8075
     -1.9251      0.2097     -1.0551    -41.1214    -27.8812    -53.5228   -227.7070    225.1208
     -1.9092      0.2819     -1.3437    -39.4812    -26.7691    -65.4016   -214.9696    205.4334
     -1.9269      0.2033     -0.9933    -41.4727    -28.1194    -52.3517   -233.4105    226.6452
     -1.9055      0.2541     -0.9833    -41.5295    -28.1579    -64.7199   -226.8377    223.9522
     -1.9050      0.1883     -0.5243    -44.1382    -29.9266    -54.7653   -245.5102    247.4730
     -1.8785      0.2769     -1.4167    -39.0663    -26.4878    -62.4989   -207.0170    197.2421
     -1.9315      0.2071     -0.9295    -41.8350    -28.3650    -54.3413   -236.1278    230.7899
